id_projet;prj_etat;prj_date;prj_dateupdate;prj_debut;prj_fin;prj_typeref;prj_type;prj_reference;prj_devise;prj_change;prj_deviseagence;prj_changeagence;prj_adr;prj_cp;prj_ville;prj_pays;prj_lotstab;prj_commentaires;prj_turnover_excludingtax;prj_margin_excludingtax;prj_profitability;id_profil_x;id_ao;id_crmcontact;id_crmsociete;id_societe_x;id_pole_x;id_profilcdp;csoc_societe;csoc_intervention;csoc_type;csoc_metiers;csoc_web;csoc_tel;csoc_ville;csoc_pays;csoc_date;id_profil_y;id_societe_y;id_pole_y;id_action_previous;id_action_next;id_provenance;csoc_cp;id_bondecommande;bdc_date;bdc_refclient;bdc_ref;bdc_accordclient;bdc_turnoverinvoicedexcludtax;bdc_turnoverorderedexcludtax;bdc_deltainvoicedexcludtax;bdc_etat;id_respuser;bdc_typreglement;bdc_condreglement;bdc_typepayment;id_profil;profil_trigramme;id_achat;achat_datecrea;achat_dateupdate;achat_date;achat_etat;achat_montantht;achat_quantité;achat_titre;achat_ref;achat_type;achat_commentaire
205;1;2017-09-14T14:55:21+0200;2023-02-04T19:01:16+0100;2017-04-01;2023-12-31;6;2;SE16060171;0.0;1.0;0.0;1.0;1 Rue Sainte-Anne;21000;DIJON;France;;;79789.59;34916.53999999999;77.81182692061269;12;347.0;74;47;1;;12;METROPOLE DE DIJON;Secteur public;1;CAISSE D'EPARGNE;;;DIJON;France;2016-01-10T10:16:36+0100;12;1;;;;3;21000;3267.0;2023-02-04;C20231042;BM1000000003267;1.0;14438.89;14438.89;0.0;1.0;52.0;schedule;1.0;0.0;12;TCH;1450.0;2023-02-04T19:01:16+0100;2023-02-04T19:01:16+0100;2022-11-16;1.0;0.0;1.0;Maintenance SAP BO 2023;ACH22111450;0.0;
215;1;2017-10-03T16:42:23+0200;2023-09-15T10:02:05+0200;2017-10-01;2023-12-31;6;2;SE17070321;0.0;1.0;0.0;1.0;55, rue Auguste Champion;71321;Sevrey;France;;;17438.558;6835.7080000000005;64.47047727733582;255;321.0;295;185;1;;255;CHS de Sevrey;Servies hospitaliers;1;;;03.85.92.82.94;Sevrey;France;2017-07-07T15:46:45+0200;255;1;;;;-1;71321;3102.0;2023-01-03;56-321556;BM1000000003102;1.0;2011.9;2011.9;0.0;1.0;52.0;schedule;1.0;0.0;255;Bd';1341.0;2023-01-09T14:19:33+0100;2023-01-09T14:19:33+0100;2022-12-12;1.0;0.0;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121341;0.0;
231;1;2017-11-15T15:44:35+0100;2023-09-15T10:39:08+0200;2017-11-01;2023-12-31;6;2;BR17110379;0.0;1.0;0.0;1.0;15 RUE DE GEOLE;14000;CAEN;France;;;31732.27;17690.77;125.98917494569667;71;379.0;938;200;1;;71;KEOLIS CAEN MOBILITES;Transport;1;"Caisse d'Epargne
Factures sur site Cegedim";;;Fleury-sur-Orne;France;2017-09-19T10:19:44+0200;71;1;;;;-1;14123;3125.0;2023-01-09;1408CAAG3864;BM1000000003125;1.0;5167.27;5167.27;0.0;1.0;52.0;schedule;82.0;0.0;71;GLE;1314.0;2022-12-15T10:23:35+0100;2022-12-15T10:23:35+0100;2023-01-01;1.0;2277.0;1.0;Maintenance SAP BO 2023 - Unitaire;ACH23011314;0.0;
234;1;2017-11-20T07:09:35+0100;2023-09-15T09:56:39+0200;2017-12-01;2023-12-31;6;2;SE17110382 MA02;0.0;1.0;0.0;1.0;2 boulevard de Verdun;89000;Auxerre;France;;;23604.28;8714.869999999999;58.5306603821105;60;382.0;1460;118;1;;60;CENTRE HOSPITALIER D'AUXERRE;Servies hospitaliers;1;;;03 86 48 48 48;Auxerre;France;2016-04-13T10:29:25+0200;60;1;;;;-1;89000;3185.0;2023-01-17;19-662584;BM1000000003185;1.0;3353.62;3353.62;0.0;1.0;52.0;schedule;1.0;0.0;60;ACA;1394.0;2023-01-17T15:12:10+0100;2023-01-17T15:12:10+0100;2022-12-12;1.0;0.0;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121394;0.0;
236;1;2017-12-05T09:42:50+0100;2023-09-15T11:29:11+0200;2017-12-05;2023-12-31;6;2;SE17050296;0.0;1.0;0.0;1.0;ILENA PARK 117 Allée des Parcs - Immeuble B1;69791;SAINT-PRIEST Cedex;France;;;45059.98;11049.840000000004;32.48983979483767;60;296.0;277;90;1;;60;SULLY;Conseil;7;caisse d'EPARGNE;;;SAINT-PRIEST Cedex;France;2016-01-10T10:18:30+0100;60;1;;;;-1;69791;3695.0;2023-07-20;CDS23-014 BDC-SEENOVATE MCO 2023;BM1000000003695;1.0;6329.83;6329.83;0.0;1.0;52.0;schedule;1.0;0.0;60;ACA;1579.0;2023-07-20T17:51:33+0200;2023-07-20T17:51:33+0200;2023-07-20;1.0;4707.93;1.0;Maintenance SAP BO du 05/07/23 au 04/07/24;ACH23071579;0.0;
239;1;2017-12-14T17:30:10+0100;2023-07-28T15:22:49+0200;2018-01-01;2023-12-31;6;2;SE17120398 MA;0.0;1.0;0.0;1.0;24 Rue Martre;92110;CLICHY;France;;;147965.90142211;50873.15142211001;52.39644713133576;71;402.0;352;219;1;;71;SARIA INDUSTRIES;Agroalimentaire;1;caisse d'epargne;;01 41 40 30 00;CLICHY;France;2017-12-07T15:27:45+0100;71;1;;;;-1;92110;3105.0;2023-01-09;29900537-AH-00205;BM1000000003105;1.0;26176.42;26176.42;0.0;0.0;52.0;schedule;52.0;0.0;71;GLE;1304.0;2022-12-09T17:59:56+0100;2022-12-09T17:59:56+0100;2023-01-01;1.0;15931.52;1.0;Maintenance SAP BO 2023 - Unitaire;ACH23011304;0.0;
241;1;2017-12-20T10:16:03+0100;2023-01-27T16:11:59+0100;2017-12-20;2023-12-31;6;2;SE16040139;0.0;1.0;0.0;1.0;;;;Suisse;;"FIN DE LA MAINTENANCE 31/12/2023

Exonération de TVA en application de l'article 262-I du CGI";24247.97;8660.03;55.55596185256038;17;139.0;80;51;1;;17;POWER DATA;Autres;1;CAISSE EPARGNE;;;TOLOCHENAZ;Suisse;2016-01-10T10:16:37+0100;12;1;;;;-1;1131;3240.0;2023-01-27;SE16040139 MA05;BM1000000003240;1.0;4112.47;4112.47;0.0;1.0;52.0;schedule;1.0;0.0;17;ARE;1431.0;2023-01-27T16:07:56+0100;2023-01-27T16:07:56+0100;2022-12-12;1.0;2643.69;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121431;0.0;
251;1;2017-12-28T10:59:20+0100;2023-09-15T11:28:10+0200;2018-01-01;2023-12-31;6;2;SE17120413;0.0;1.0;0.0;1.0;Chemin des franques, Parc Technologique des Fontaines,;38190;BERNIN;France;;;155664.21;75405.45999999999;93.95294594047375;60;413.0;1184;180;1;;60;SOITEC;Industrie;1;crédit agricole;https://www.soitec.com/fr/;04 76 92 75 00;BERNIN;France;2017-06-19T09:27:11+0200;60;1;;;;-1;38190;3114.0;2023-01-09;102306830;BM1000000003114;1.0;26696.21;26696.21;0.0;1.0;52.0;schedule;4.0;0.0;60;ACA;1346.0;2023-01-09T15:18:44+0100;2023-01-09T15:18:44+0100;2022-12-12;1.0;0.0;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121346;0.0;
254;1;2018-01-24T14:36:51+0100;2021-03-16T17:00:29+0100;2018-01-01;2021-12-31;6;2;SE17100369 MA21;0.0;1.0;0.0;1.0;47 AVENUE MARIE REYNOARD BP 2549;38035;GRENOBLE CEDEX 2;France;;"siret 779 537 125 00188
code service COMPTABILITE (chorus)";120400.0;2374.720000000001;2.012043521523525;12;369.0;327;204;1;;12;ALPES ISERE HABITAT (ex OPAC 38);Immobilier;1;;;04 76 20 50 50;GRENOBLE CEDEX 2;France;2017-10-24T09:56:21+0200;12;1;;;;-1;38035;1856.0;2021-03-16;21016936-1;BM1000000001856;1.0;30100.0;30100.0;0.0;1.0;60.0;schedule;1.0;0.0;12;TCH;838.0;2021-03-16T17:00:29+0100;2021-03-16T17:00:29+0100;2021-03-16;1.0;29506.32;1.0;Maintenance SAP BO 2021;ACH2103838;0.0;
293;1;2018-06-29T11:22:48+0200;2023-09-15T09:45:49+0200;2018-06-29;2023-12-31;6;2;SE17060307;0.0;1.0;0.0;1.0;3 Avenue des Beguines;95800;CERGY;France;;;4615.72;2778.54;151.23939951447326;255;506.0;418;259;1;;255;AEGLE;Edition de logiciels;1;éditeur comme mini Cpage, aupres des milieux hospitaliers (petits hopitaux). Contrat EOM avec SAP (PCOE direct SAP). Nous intervenons pour compléter leur offre BO auprès de leurs clients. ex introduit auprès de l'hôpital privé d'Antony. sujets stats mais sans suites.;;;CERGY;France;2018-06-28T14:32:08+0200;255;1;;;;-1;95800;3103.0;2023-01-09;SE17060307 MA05;BM1000000003103;1.0;853.72;853.72;0.0;1.0;52.0;schedule;1.0;0.0;255;Bd';1342.0;2023-01-09T14:22:20+0100;2023-02-07T16:37:37+0100;2022-12-12;1.0;339.8;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121342;0.0;
