,id_crmsociete,csoc_societe,csoc_intervention,csoc_type,csoc_metiers,csoc_web,csoc_tel,csoc_ville,csoc_pays,csoc_date,id_profil,id_societe,id_pole,id_action_previous,id_action_next,id_provenance,csoc_cp
102,684,INSTITUT NATIONAL DU CANCER (INCA),Secteur public,1,,,01 41 10 50 00,BOULOGNE BILLANCOURT,France,2021-03-09T09:22:20+0100,64,1,,,,12,92513
103,716,SEEGROUP,,1,,,0628526250,MONTPELLIER,France,2021-07-22T14:03:32+0200,17,1,,,,-1,34000
104,522,PAVILLON PREVOYANCE,,1,credit agricole,,0810 810 033,,France,2020-07-01T07:18:38+0200,1291,1,,,,13,
105,1075,Lapeyre,Autres,0,,https://www.lapeyre.fr/?esl-k=google-ads%7Cng%7Cc652735632676%7Cme%7Cklapeyre%7Cp%7Ct%7Cdc%7Ca143879,01 48 11 74 00,Aubervilliers,France,2023-08-03T16:22:29+0200,60,1,20,,,14,93300
106,1074,SDIS 67,Défense,0,facturation via CIRIL,https://www.sis67.alsace/fr,,Villeurbanne,France,2023-08-03T16:09:18+0200,60,1,20,,,14,69100
107,1073,SDIS 47,Défense,0,facturation via CIRIL,https://www.sdis47.fr,05 53 48 95 00,Villeurbanne,France,2023-08-03T16:00:19+0200,60,1,20,,,14,69100
108,1072,SDIS 21,Défense,0,facturation via CIRIL,https://www.sdis21.org,,Villeurbanne,France,2023-08-03T15:54:22+0200,60,1,20,,,14,69100
109,358,SDIS 84,Défense,2,facturation via CIRIL,https://www.sdis84.fr,04 90 81 18 18,Villeurbanne,France,2019-05-03T06:51:24+0200,17,1,,,,14,69100
110,479,Groupe CIRIL,Secteur public,1,CREDIT AGRICOLE,https://www.ciril.net/fr/societe/a-propos.html,04 72 69 16 80,VILLEURBANNE,France,2020-02-18T10:57:49+0100,17,1,,,,6,69100
111,1071,Savoye SASU,Autres,0,,https://www.savoye.com,03 80 54 40 00,Dijon,France,2023-08-03T14:13:36+0200,60,1,20,,,14,21000
112,1068,OSB,Bâtiments,0,,http://osb-entreprise.com,,Papeete,France,2023-08-01T14:21:19+0200,60,1,20,,,14,98713
113,1067,Etablissement Tordo Belgrano,Autres,0,,https://www.torbel.fr/content/10-notre-histoire,,Tourette-Levens,France,2023-08-01T14:11:35+0200,60,1,20,,,14,06690
114,1066,Synergie,Autres,0,,https://www.synergie.fr,05 57 67 14 74,Orvault,France,2023-08-01T14:02:48+0200,60,1,20,,,14,44700
115,148,SOMFY,Industrie,2,,https://www.somfy-group.com/fr-fr/,04 50 96 70 60,Cluses,France,2017-02-20T09:40:34+0100,17,1,,,,14,74300
